sample_id,x_active_quantity,authorized,architecture,direct_x_visible,observable_y
7,0,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
8,28,1,centralized_plaintext,1,"[""[12,16,17,0,0,0,0,0,0,0]"", ""[88,95,21,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
8,28,1,trusted_encrypted_database,1,"[""[12,16,17,0,0,0,0,0,0,0]"", ""[88,95,21,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
8,28,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
9,20,1,centralized_plaintext,1,"[""[12,3,3,14,17,0,0,0,0,0]"", ""[4,71,5,21,86,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
9,20,1,trusted_encrypted_database,1,"[""[12,3,3,14,17,0,0,0,0,0]"", ""[4,71,5,21,86,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
9,20,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
10,19,1,centralized_plaintext,1,"[""[16,3,13,0,0,0,0,0,0,0]"", ""[95,71,12,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
10,19,1,trusted_encrypted_database,1,"[""[16,3,13,0,0,0,0,0,0,0]"", ""[95,71,12,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
10,19,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
11,34,1,centralized_plaintext,1,"[""[15,19,0,0,0,0,0,0,0,0]"", ""[76,100,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
11,34,1,trusted_encrypted_database,1,"[""[15,19,0,0,0,0,0,0,0,0]"", ""[76,100,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
11,34,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
12,24,1,centralized_plaintext,1,"[""[15,6,1,8,0,0,0,0,0,0]"", ""[87,56,95,71,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
12,24,1,trusted_encrypted_database,1,"[""[15,6,1,8,0,0,0,0,0,0]"", ""[87,56,95,71,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
12,24,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
13,42,1,centralized_plaintext,1,"[""[11,19,19,10,3,2,0,0,0,0]"", ""[71,10,85,94,26,90,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
13,42,1,trusted_encrypted_database,1,"[""[11,19,19,10,3,2,0,0,0,0]"", ""[71,10,85,94,26,90,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
13,42,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
14,0,1,centralized_plaintext,1,"[""[20,17,3,0,0,0,0,0,0,0]"", ""[53,16,35,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
14,0,1,trusted_encrypted_database,1,"[""[20,17,3,0,0,0,0,0,0,0]"", ""[53,16,35,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
14,0,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
15,24,1,centralized_plaintext,1,"[""[14,10,0,0,0,0,0,0,0,0]"", ""[92,82,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
15,24,1,trusted_encrypted_database,1,"[""[14,10,0,0,0,0,0,0,0,0]"", ""[92,82,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
15,24,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
16,19,1,centralized_plaintext,1,"[""[5,6,1,1,14,0,0,0,0,0]"", ""[90,50,58,52,82,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
16,19,1,trusted_encrypted_database,1,"[""[5,6,1,1,14,0,0,0,0,0]"", ""[90,50,58,52,82,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
16,19,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
17,50,1,centralized_plaintext,1,"[""[17,4,8,9,12,0,0,0,0,0]"", ""[93,96,94,91,95,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
17,50,1,trusted_encrypted_database,1,"[""[17,4,8,9,12,0,0,0,0,0]"", ""[93,96,94,91,95,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
17,50,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
18,0,1,centralized_plaintext,1,"[""[6,1,0,0,0,0,0,0,0,0]"", ""[9,54,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
18,0,1,trusted_encrypted_database,1,"[""[6,1,0,0,0,0,0,0,0,0]"", ""[9,54,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
18,0,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
19,53,0,centralized_plaintext,1,"[""[3,13,5,11,8,20,9,3,0,0]"", ""[52,6,97,94,71,83,91,55,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""0""]"
19,53,0,trusted_encrypted_database,1,"[""[3,13,5,11,8,20,9,3,0,0]"", ""[52,6,97,94,71,83,91,55,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""0""]"
19,53,0,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""0""]"
20,34,1,centralized_plaintext,1,"[""[17,5,7,5,11,8,12,6,0,0]"", ""[22,100,87,77,85,7,13,74,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
20,34,1,trusted_encrypted_database,1,"[""[17,5,7,5,11,8,12,6,0,0]"", ""[22,100,87,77,85,7,13,74,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
20,34,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
21,0,1,centralized_plaintext,1,"[""[5,6,15,0,0,0,0,0,0,0]"", ""[67,43,56,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
21,0,1,trusted_encrypted_database,1,"[""[5,6,15,0,0,0,0,0,0,0]"", ""[67,43,56,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
21,0,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
22,24,1,centralized_plaintext,1,"[""[16,19,4,4,5,0,0,0,0,0]"", ""[64,96,68,44,71,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
22,24,1,trusted_encrypted_database,1,"[""[16,19,4,4,5,0,0,0,0,0]"", ""[64,96,68,44,71,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
22,24,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
23,36,1,centralized_plaintext,1,"[""[12,20,4,16,0,0,0,0,0,0]"", ""[18,97,63,100,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
23,36,1,trusted_encrypted_database,1,"[""[12,20,4,16,0,0,0,0,0,0]"", ""[18,97,63,100,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
23,36,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
24,10,1,centralized_plaintext,1,"[""[9,1,10,4,0,0,0,0,0,0]"", ""[6,63,74,9,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
24,10,1,trusted_encrypted_database,1,"[""[9,1,10,4,0,0,0,0,0,0]"", ""[6,63,74,9,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
24,10,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
25,40,1,centralized_plaintext,1,"[""[13,10,17,9,0,0,0,0,0,0]"", ""[81,92,97,66,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
25,40,1,trusted_encrypted_database,1,"[""[13,10,17,9,0,0,0,0,0,0]"", ""[81,92,97,66,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
25,40,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
26,25,1,centralized_plaintext,1,"[""[15,10,0,0,0,0,0,0,0,0]"", ""[87,72,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
26,25,1,trusted_encrypted_database,1,"[""[15,10,0,0,0,0,0,0,0,0]"", ""[87,72,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
26,25,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
27,6,1,centralized_plaintext,1,"[""[3,3,0,0,0,0,0,0,0,0]"", ""[98,80,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
27,6,1,trusted_encrypted_database,1,"[""[3,3,0,0,0,0,0,0,0,0]"", ""[98,80,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
27,6,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
28,0,1,centralized_plaintext,1,"[""[10,2,0,0,0,0,0,0,0,0]"", ""[6,39,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
28,0,1,trusted_encrypted_database,1,"[""[10,2,0,0,0,0,0,0,0,0]"", ""[6,39,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
28,0,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
29,37,1,centralized_plaintext,1,"[""[1,2,11,19,4,10,0,0,0,0]"", ""[94,75,85,92,91,12,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
29,37,1,trusted_encrypted_database,1,"[""[1,2,11,19,4,10,0,0,0,0]"", ""[94,75,85,92,91,12,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
29,37,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
30,41,1,centralized_plaintext,1,"[""[6,17,18,0,0,0,0,0,0,0]"", ""[94,74,73,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
30,41,1,trusted_encrypted_database,1,"[""[6,17,18,0,0,0,0,0,0,0]"", ""[94,74,73,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
30,41,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
31,41,1,centralized_plaintext,1,"[""[5,14,9,13,0,0,0,0,0,0]"", ""[77,82,84,80,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
31,41,1,trusted_encrypted_database,1,"[""[5,14,9,13,0,0,0,0,0,0]"", ""[77,82,84,80,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
31,41,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
32,0,1,centralized_plaintext,1,"[""[6,3,0,0,0,0,0,0,0,0]"", ""[24,61,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
32,0,1,trusted_encrypted_database,1,"[""[6,3,0,0,0,0,0,0,0,0]"", ""[24,61,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
32,0,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
33,42,1,centralized_plaintext,1,"[""[16,14,7,14,17,13,1,7,0,0]"", ""[26,2,78,100,35,95,90,83,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
33,42,1,trusted_encrypted_database,1,"[""[16,14,7,14,17,13,1,7,0,0]"", ""[26,2,78,100,35,95,90,83,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
33,42,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
34,39,1,centralized_plaintext,1,"[""[8,4,14,3,10,0,0,0,0,0]"", ""[71,85,84,77,94,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
34,39,1,trusted_encrypted_database,1,"[""[8,4,14,3,10,0,0,0,0,0]"", ""[71,85,84,77,94,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
34,39,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
35,17,1,centralized_plaintext,1,"[""[5,5,12,18,6,0,0,0,0,0]"", ""[57,82,98,62,10,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
35,17,1,trusted_encrypted_database,1,"[""[5,5,12,18,6,0,0,0,0,0]"", ""[57,82,98,62,10,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
35,17,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
36,37,1,centralized_plaintext,1,"[""[12,3,2,20,0,0,0,0,0,0]"", ""[71,91,93,72,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
36,37,1,trusted_encrypted_database,1,"[""[12,3,2,20,0,0,0,0,0,0]"", ""[71,91,93,72,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
36,37,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
37,0,1,centralized_plaintext,1,"[""[15,7,1,0,0,0,0,0,0,0]"", ""[57,68,48,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
37,0,1,trusted_encrypted_database,1,"[""[15,7,1,0,0,0,0,0,0,0]"", ""[57,68,48,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
37,0,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
38,24,1,centralized_plaintext,1,"[""[13,18,11,0,0,0,0,0,0,0]"", ""[99,21,78,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
38,24,1,trusted_encrypted_database,1,"[""[13,18,11,0,0,0,0,0,0,0]"", ""[99,21,78,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
38,24,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
39,0,1,centralized_plaintext,1,"[""[14,0,0,0,0,0,0,0,0,0]"", ""[66,0,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
39,0,1,trusted_encrypted_database,1,"[""[14,0,0,0,0,0,0,0,0,0]"", ""[66,0,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
39,0,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
40,0,1,centralized_plaintext,1,"[""[10,9,0,0,0,0,0,0,0,0]"", ""[32,59,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
40,0,1,trusted_encrypted_database,1,"[""[10,9,0,0,0,0,0,0,0,0]"", ""[32,59,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
40,0,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
41,25,1,centralized_plaintext,1,"[""[6,10,14,9,0,0,0,0,0,0]"", ""[87,72,34,82,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
41,25,1,trusted_encrypted_database,1,"[""[6,10,14,9,0,0,0,0,0,0]"", ""[87,72,34,82,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
41,25,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
42,0,1,centralized_plaintext,1,"[""[9,0,0,0,0,0,0,0,0,0]"", ""[13,0,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
42,0,1,trusted_encrypted_database,1,"[""[9,0,0,0,0,0,0,0,0,0]"", ""[13,0,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
42,0,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
43,54,0,centralized_plaintext,1,"[""[10,15,6,9,10,13,0,0,0,0]"", ""[91,85,76,49,78,84,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""0""]"
43,54,0,trusted_encrypted_database,1,"[""[10,15,6,9,10,13,0,0,0,0]"", ""[91,85,76,49,78,84,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""0""]"
43,54,0,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""0""]"
44,13,1,centralized_plaintext,1,"[""[11,2,2,4,0,0,0,0,0,0]"", ""[71,99,38,38,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
44,13,1,trusted_encrypted_database,1,"[""[11,2,2,4,0,0,0,0,0,0]"", ""[71,99,38,38,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
44,13,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
45,23,1,centralized_plaintext,1,"[""[8,15,19,0,0,0,0,0,0,0]"", ""[82,91,11,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
45,23,1,trusted_encrypted_database,1,"[""[8,15,19,0,0,0,0,0,0,0]"", ""[82,91,11,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
45,23,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
46,3,1,centralized_plaintext,1,"[""[2,13,3,0,0,0,0,0,0,0]"", ""[15,22,94,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
46,3,1,trusted_encrypted_database,1,"[""[2,13,3,0,0,0,0,0,0,0]"", ""[15,22,94,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
46,3,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
47,8,1,centralized_plaintext,1,"[""[13,8,0,0,0,0,0,0,0,0]"", ""[31,88,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
47,8,1,trusted_encrypted_database,1,"[""[13,8,0,0,0,0,0,0,0,0]"", ""[31,88,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
47,8,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
48,44,1,centralized_plaintext,1,"[""[19,12,19,9,4,0,0,0,0,0]"", ""[70,79,81,95,89,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
48,44,1,trusted_encrypted_database,1,"[""[19,12,19,9,4,0,0,0,0,0]"", ""[70,79,81,95,89,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
48,44,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
49,23,1,centralized_plaintext,1,"[""[3,16,20,11,0,0,0,0,0,0]"", ""[85,46,75,34,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
49,23,1,trusted_encrypted_database,1,"[""[3,16,20,11,0,0,0,0,0,0]"", ""[85,46,75,34,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
49,23,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
50,39,1,centralized_plaintext,1,"[""[5,11,4,19,12,0,0,0,0,0]"", ""[94,88,73,76,40,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
50,39,1,trusted_encrypted_database,1,"[""[5,11,4,19,12,0,0,0,0,0]"", ""[94,88,73,76,40,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
50,39,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
51,47,1,centralized_plaintext,1,"[""[4,14,17,13,13,3,13,0,0,0]"", ""[96,83,48,99,38,86,88,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
51,47,1,trusted_encrypted_database,1,"[""[4,14,17,13,13,3,13,0,0,0]"", ""[96,83,48,99,38,86,88,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
51,47,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
52,14,1,centralized_plaintext,1,"[""[17,20,14,0,0,0,0,0,0,0]"", ""[45,41,99,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
52,14,1,trusted_encrypted_database,1,"[""[17,20,14,0,0,0,0,0,0,0]"", ""[45,41,99,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
52,14,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
53,13,1,centralized_plaintext,1,"[""[8,9,13,18,0,0,0,0,0,0]"", ""[27,45,99,53,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
53,13,1,trusted_encrypted_database,1,"[""[8,9,13,18,0,0,0,0,0,0]"", ""[27,45,99,53,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
53,13,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
54,0,1,centralized_plaintext,1,"[""[20,0,0,0,0,0,0,0,0,0]"", ""[58,0,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
54,0,1,trusted_encrypted_database,1,"[""[20,0,0,0,0,0,0,0,0,0]"", ""[58,0,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
54,0,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
55,48,1,centralized_plaintext,1,"[""[20,2,11,6,20,0,0,0,0,0]"", ""[91,79,54,88,88,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
